team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
Ya Gotta Beliebe,2024-08-15,1,1,1,11,1,3,1,9,9,11,9,10,10,77,19,58,10,14,4
Rochelle Rochelle the Musical,2024-08-15,4,5,4,4,5,9,10,7,4,5,5,6,8,76,41,35,11,10,11
HaberMetrics,2024-08-16,5,6,10,5,2,11,9,3,6,9,14,7,2,89,48,41,7,7,9
Boba Chette,2024-08-16,2,2,2,2,11,1,2,1,1,5,1,1,2,33,22,11,14,13,14
Bug Monty,2024-08-16,13,13,9,14,14,13,14,10,9,13,10,11,14,157,90,67,1,1,1
FightinHorse&Buggies,2024-08-16,12,14,13,3,13,8,13,14,11,11,7,13,7,139,76,63,3,3,2
Forever Jung,2024-08-16,11,9,12,12,7,13,11,13,14,4,5,12,9,132,75,57,4,4,6
Friends O'Clyde,2024-08-16,7,7,7,1,8,4,3,9,8,3,1,9,13,80,37,43,9,11,8
Haders gonna Hate,2024-08-16,3,3,3,7,4,7,5,4,2,2,3,3,4,50,32,18,13,12,12
Hobo Ken,2024-08-16,10,12,8,9,12,1,8,8,12,14,10,14,5,123,60,63,5,5,2
Mighty Banshees,2024-08-16,14,11,14,13,10,12,12,12,13,6,8,8,12,145,86,59,2,2,5
Nola's Ark,2024-08-16,9,10,11,6,9,6,6,5,7,10,10,5,11,105,57,48,6,6,7
The Flying Rutschmen,2024-08-16,8,4,5,9,3,10,7,6,5,8,13,4,1,83,46,37,8,8,10
Lux Æterna,2024-08-16,6,8,6,8,6,5,4,2,3,1,3,2,5,59,43,16,12,9,13
Ya Gotta Beliebe,2024-08-16,1,1,1,11,1,3,1,10,10,12,9,10,10,80,19,61,9,14,4
Rochelle Rochelle the Musical,2024-08-16,4,5,4,4,5,9,10,7,4,7,5,6,7,77,41,36,11,10,11
HaberMetrics,2024-08-17,5,6,10,5,2,11,9,5,6,9,14,7,2,91,48,43,7,7,8
Boba Chette,2024-08-17,2,2,2,2,11,1,2,1,1,6,2,1,2,35,22,13,14,13,14
Bug Monty,2024-08-17,13,13,9,14,14,14,14,11,9,13,12,11,14,161,91,70,1,1,1
FightinHorse&Buggies,2024-08-17,12,14,13,3,13,8,13,14,11,11,7,13,7,139,76,63,3,3,2
Forever Jung,2024-08-17,11,9,12,12,7,13,11,13,14,4,5,12,9,132,75,57,4,4,6
Friends O'Clyde,2024-08-17,7,7,8,1,8,3,3,8,8,3,2,7,13,78,37,41,10,11,9
Haders gonna Hate,2024-08-17,3,3,3,7,4,7,5,3,2,2,1,3,4,47,32,15,13,12,12
Hobo Ken,2024-08-17,10,12,7,9,12,1,8,8,12,14,10,14,5,122,59,63,5,5,2
Mighty Banshees,2024-08-17,14,11,14,13,10,12,12,12,13,6,8,7,12,144,86,58,2,2,5
Nola's Ark,2024-08-17,9,10,11,6,9,6,7,3,7,10,10,5,11,104,58,46,6,6,7
The Flying Rutschmen,2024-08-17,8,4,5,9,3,10,6,6,5,8,12,4,1,81,45,36,8,8,10
Lux Æterna,2024-08-17,6,8,6,8,6,5,4,2,3,1,2,2,5,58,43,15,12,9,12
Ya Gotta Beliebe,2024-08-17,1,1,1,11,1,3,1,10,10,11,9,10,10,79,19,60,9,14,4
Rochelle Rochelle the Musical,2024-08-17,4,5,4,4,5,8,9,7,4,5,5,6,7,73,39,34,11,10,11
